Id_pilote;Championnat;Date_course;Modele_moto;Annee_moto;Classement;Points_gagnes;Vitesse_moy;Meilleur_tour
1;MotoGP;2016-03-20;M1;2016;1;25;167.1;114.543
0;MotoGP;2016-03-20;Desmosedici GP;2013;2;20;167.0;;
7;MotoGP;2016-03-20;RC213V;2012;3;16;167.0;;
4;MotoGP;2016-03-20;M1;2016;4;13;167.0;;
8;MotoGP;2016-03-20;RC213V;2012;5;11;166.2;;
5;MotoGP;2016-03-20;GSX-RR;2014;6;10;166.1;;
11;MotoGP;2016-03-20;RC213V-RS;2015;14;2;164.4;;
6;MotoGP;2016-03-20;RC213V;2012;0;0;165.0;;
10;MotoGP;2016-03-20;GSX-RR;2014;18;0;;;
4;MotoGP;2016-04-24;M1;2016;1;25;157.5;100.090
1;MotoGP;2016-04-24;M1;2016;2;20;157.4;;
7;MotoGP;2016-04-24;RC213V;2012;3;16;157.1;;
8;MotoGP;2016-04-24;RC213V;2012;4;13;156.9;;
5;MotoGP;2016-04-24;GSX-RR;2014;6;10;156.5;;
9;MotoGP;2016-04-24;Desmosedici GP;2013;7;9;156.0;;
6;MotoGP;2016-04-24;RC213V;2012;11;5;155.3;;
11;MotoGP;2016-04-24;RC213V-RS;2015;17;0;154.7;;
0;MotoGP;2016-04-24;Desmosedici GP;2013;0;0;157.7;;
4;MotoGP;2016-06-05;M1;2016;1;25;156.4;;
7;MotoGP;2016-06-05;RC213V;2012;2;20;156.3;105.971
8;MotoGP;2016-06-05;RC213V;2012;3;16;156.0;;
5;MotoGP;2016-06-05;GSX-RR;2014;4;13;155.0;;
6;MotoGP;2016-06-05;RC213V;2012;6;10;154.3;;
0;MotoGP;2016-06-05;Desmosedici GP;2013;7;9;154.0;;
11;MotoGP;2016-06-05;RC213V-RS;2015;10;6;153.6;;
1;MotoGP;2016-06-05;M1;2016;0;0;155.9;;
9;MotoGP;2016-06-05;Desmosedici GP;2013;0;0;155.8;;
11;MotoGP;2016-06-26;RC213V-RS;2015;1;25;146.7;;
7;MotoGP;2016-06-26;RC213V;2012;2;20;146.4;;
9;MotoGP;2016-06-26;Desmosedici GP;2013;5;11;144.7;;
5;MotoGP;2016-06-26;GSX-RR;2014;9;7;143.8;;
1;MotoGP;2016-06-26;M1;2016;10;6;143.7;;
4;MotoGP;2016-06-26;M1;2016;0;0;145.1;;
0;MotoGP;2016-06-26;Desmosedici GP;2013;0;0;140.8;;
6;MotoGP;2016-06-26;RC213V;2012;0;0;0;;
5;MotoGP;2016-09-04;GSX-RR;2014;1;25;172.1;122.339
6;MotoGP;2016-09-04;RC213V;2012;2;20;171.9;;
4;MotoGP;2016-09-04;M1;2016;3;16;171.9;;
7;MotoGP;2016-09-04;RC213V;2012;4;13;171.7;;
8;MotoGP;2016-09-04;RC213V;2012;5;11;171.7;;
0;MotoGP;2016-09-04;Desmosedici GP;2013;6;10;171.3;;
1;MotoGP;2016-09-04;M1;2016;8;8;170.7;;
11;MotoGP;2016-09-04;RC213V-RS;2015;16;0;168.7;;
7;MotoGP;2016-09-25;RC213V;2012;1;25;167.0;108.694
1;MotoGP;2016-09-25;M1;2016;2;20;166.8;;
4;MotoGP;2016-09-25;M1;2016;3;16;166.6;;
5;MotoGP;2016-09-25;GSX-RR;2014;4;13;166.4;;
6;MotoGP;2016-09-25;RC213V;2012;5;11;166.1;;
8;MotoGP;2016-09-25;RC213V;2012;6;10;165.8;;
0;MotoGP;2016-09-25;Desmosedici GP;2013;11;5;164.8;;
12;Superbike;2015-02-22;GSX-R1000;2014;17;0;;;92.402
13;Superbike;2015-02-22;GSX-R1000;2014;9;7;;;92.690
14;Superbike;2015-02-22;ZX-10R;2015;6;10;;;92.016
